,predicts,records,year
0,2152.8179,2765.786714,2018
1,2511.247,2327.087636,2018
2,2530.5117,2490.202775,2018
3,2539.1543,3148.546584,2018
4,2597.411,3618.289821,2018
5,3094.099,3135.030993,2018
6,2897.1824,2900.503167,2018
7,2906.6318,2810.33657,2018
8,2734.8264,3612.2003,2018
9,2505.9973,2292.767568,2018
10,2517.577,2400.585295,2018
11,2460.5195,2177.159914,2018
12,2707.5876,2462.082912,2018
13,2491.0933,2523.357841,2018
14,4228.259,4699.6337,2018
15,1877.1599,1722.115997,2018
16,1149.9962,1542.995382,2018
17,1336.9487,1023.2324680000002,2018
18,1214.7637,1376.933896,2018
19,1614.5593,1515.890613,2018
20,1123.7529,749.9999999999998,2018
21,2944.645,2000.0,2018
22,1719.0276,1180.069068,2018
23,2871.924,3031.051031,2018
24,3254.3823,2695.377587,2018
25,3170.4692,3326.961397,2018
26,3250.9897,3485.665311,2018
27,2390.5928,2155.833289,2018
28,1757.0096,1915.171419,2018
29,1787.3204,2447.401892,2018
30,2416.4644,2668.110315,2018
31,2906.9607,3418.505338,2018
32,2359.2163,2823.813355,2018
33,4283.7705,4960.0,2018
34,2652.8577,2364.102564,2018
35,3334.9436,3252.522415,2018
36,2676.44,2897.125709,2018
37,2806.1125,3064.669771,2018
38,2810.9485,3642.685851,2018
39,2670.8804,2836.984608,2018
40,2716.13,3018.712955,2018
41,3273.3557,3824.471552,2018
42,2741.0625,3677.951636,2018
43,4685.1,4654.425612,2018
44,4198.0913,4453.333333,2018
45,4588.0854,4266.802444,2018
46,4516.33,4898.047722,2018
47,4258.8296,4549.145299,2018
48,4200.3267,4783.146067,2018
49,4676.1606,4821.492007,2018
50,5075.4404,4832.373272,2018
51,4768.4604,5061.632238,2018
52,4835.5654,4923.295455,2018
53,4819.7163,5046.694406,2018
54,4800.3394,5383.634431,2018
55,4741.398,4914.69406,2018
56,4777.8545,5185.053381,2018
57,4721.8467,5069.944598,2018
58,4398.3096,4324.531516,2018
59,4483.576,4626.436782,2018
60,3993.9688,3738.888889,2018
61,4319.85,4651.376147,2018
62,2458.4692,2199.578477,2018
63,1691.8472,1309.641742,2018
64,1724.652,1242.822314,2018
65,2035.4564,1192.887089,2018
66,1933.2699,2769.124472,2018
67,2200.6155,2183.716034,2018
68,1724.3265,2163.817713,2018
69,1671.4744,1710.028702,2018
70,2097.084,2320.003305,2018
71,2640.9258,2150.03522,2018
72,2073.7595,2200.0,2018
73,2011.7311,2100.0,2018
74,2159.447,1557.154675,2018
75,1116.5278,1514.294345,2018
76,1046.7998,800.0,2018
77,1209.168,805.6265985,2018
78,966.1505,536.7197062,2018
79,1152.5244,1317.869416,2018
80,1041.5217,1132.653061,2018
81,1027.3687,983.2471427,2018
82,4031.2449,4264.020619,2018
83,3844.921,4222.01087,2018
84,3987.482,3804.0,2018
85,3944.5144,3943.953488,2018
86,2978.5764,2823.016905,2018
87,2698.5232,2500.977467,2018
88,3402.7224,3913.959391,2018
89,3078.946,2880.011521,2018
90,3013.6514,3433.992347,2018
91,3410.2908,3708.007117,2018
92,3183.3867,3272.017293,2018
93,3966.2449,4242.989571,2018
94,2689.5713,2649.104859,2018
95,2554.8367,2592.982456,2018
96,2443.1902,3212.985612,2018
97,2663.0383,3500.0,2018
98,2654.035,3604.010025,2018
99,2857.824,3900.0,2018
100,2924.1062,3485.0,2018
101,2394.2886,2182.165163,2018
102,2743.8965,3016.029116,2018
103,2109.3838,2374.910223,2018
104,3347.3784,3579.981884,2018
105,3304.6187,2920.0,2018
106,3561.6953,4242.021759,2018
107,3422.8125,3277.98583,2018
108,3787.0012,3528.014184,2018
109,3935.6333,3775.005829,2018
110,3526.8276,4100.023397,2018
111,1675.1805,3643.884892,2018
112,1587.6534,2965.932203,2018
113,3113.593,3485.978261,2018
114,3193.833,3482.97883,2018
115,4050.6594,4213.043478,2018
116,2965.9963,2636.956522,2018
117,4229.9185,4307.991361,2018
118,3627.3875,2610.003986,2018
119,2176.4802,2356.923077,2018
120,3099.3003,3420.994475,2018
121,4292.6597,3982.033898,2018
122,2364.0002,3550.0,2018
123,3475.3606,3302.980132,2018
124,2156.24,2418.972107,2018
125,2681.2546,2706.003342,2018
126,2692.9072,2661.97318,2018
127,2383.4165,1907.319559,2018
128,2070.4575,1015.625,2018
129,1541.689,2224.310777,2018
130,1437.6646,1807.652197,2018
131,1986.4915,900.0,2018
132,2385.7446,1994.117647,2018
133,2341.7158,2580.0,2018
134,4618.6685,4735.135135,2018
135,4056.539,4335.664336,2018
136,4713.9985,4867.724868,2018
137,4573.8467,5064.705882,2018
138,4738.914,4682.795699,2018
139,4751.189,4865.671642,2018
140,4885.1025,5000.0,2018
141,4882.6216,5188.571429,2018
142,4906.5415,5142.857143,2018
143,4902.21,5336.206897,2018
144,4893.4585,5341.176471,2018
145,4899.3984,5251.184834,2018
146,4951.5864,5552.083333,2018
147,5168.688,5342.105263,2018
148,1532.2034,1198.830409,2018
149,4890.5063,5295.275591,2018
150,4876.0884,5271.551724,2018
151,4825.301,5174.418605,2018
152,4846.0947,5224.59893,2018
153,4637.2646,4842.592593,2018
154,2044.0896,2188.270775,2018
155,3858.4836,3955.605193,2018
156,1468.5028,1794.055438,2018
157,3634.1826,3320.369402,2018
158,4210.032,4293.711886,2018
159,3494.2124,3638.52694,2018
160,2438.2036,2284.951038,2018
161,4178.435,4227.800018,2018
162,2825.2954,2655.383125,2018
163,3812.9302,4308.185894,2018
164,3868.7456,4237.294653,2018
165,4032.4604,4285.786545,2018
166,2180.6372,1511.175297,2018
167,3647.1062,3916.496818,2018
168,3566.2224,3332.598927,2018
169,2664.2837,2638.021785,2018
170,3202.166,3318.349838,2018
171,2277.257,2145.447186,2018
172,3845.4373,4125.665261,2018
173,3894.0505,4170.619968,2018
174,2943.9336,2984.576645,2018
175,3546.3413,4622.59929,2018
176,2758.646,2839.974301,2018
177,3664.4568,4043.521653,2018
178,2007.4254,2317.186616,2018
179,1923.3423,2356.835455,2018
180,3194.9854,3174.246181,2018
181,2960.8171,3274.303027,2018
182,3347.9775,4075.729066,2018
183,3853.2236,4041.467323,2018
184,4022.8518,4413.533496,2018
185,2317.8389,2506.145024,2018
186,3592.7207,3413.62636,2018
187,1094.6636,1000.0,2018
188,1216.5853,1386.597938,2018
189,1379.8068,1392.857143,2018
190,3434.5725,3706.000577,2018
191,3499.1973,3670.999088,2018
192,3778.471,4237.000614,2018
193,3957.3254,4541.000993,2018
194,3986.5696,3902.010721,2018
195,3134.5994,4111.997752,2018
196,3663.4448,3691.998798,2018
197,3124.75,3750.999732,2018
198,3761.2427,3995.999193,2018
199,3857.682,4299.999553,2018
200,3720.3152,3974.001906,2018
201,4218.329,3515.000923,2018
202,3416.1833,3221.993759,2018
203,2902.615,3252.001802,2018
204,3577.1533,3777.996927,2018
205,3710.1045,3908.999527,2018
206,3725.415,3673.999466,2018
207,3647.2402,4497.996459,2018
208,3966.0173,3395.001927,2018
209,3530.411,3979.002509,2018
210,3848.2476,4418.003317,2018
211,3395.3406,3546.000839,2018
212,3952.5237,4036.998418,2018
213,2803.746,3003.9986,2018
214,3177.6904,4022.002305,2018
215,2729.2292,3503.002557,2018
216,3588.32,4532.999762,2018
217,3240.4692,3263.00114,2018
218,3120.8584,3944.004147,2018
219,3309.5293,4235.99819,2018
220,3276.379,3505.505753,2018
221,3636.7566,3267.001694,2018
222,3838.0176,3754.001229,2018
223,3672.8303,3854.1495750000004,2018
224,3822.1262,3878.003407,2018
225,2915.955,3779.001126,2018
226,3780.4038,4282.003926,2018
227,3049.6064,3142.997764,2018
228,2988.0242,4029.968138,2018
229,3082.1877,4110.996044,2018
230,3252.4353,3362.999463,2018
231,3361.5547,3624.094237,2018
232,2949.593,3440.002722,2018
233,3065.1477,3700.995041,2018
234,3359.8975,3475.533434,2018
235,3105.003,3616.478684,2018
236,2962.2107,3539.998748,2018
237,3013.0762,2633.025929,2018
238,2231.589,2288.235405,2018
239,2942.8176,2972.998502,2018
